model,attack,base_class,target_class,epochs,lr,poison_num,epsilon,poison_num.1,watermark_opacity,step_size,iterations,n_runs,n_success,asr,clean_acc_mean,poisoned_acc_mean
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.01,30,0.0,0.01,2000,5,0,0.0,0.9266,0.91942
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.01,30,0.0,0.01,4000,5,0,0.0,0.9266,0.91898
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.01,30,0.2,0.01,2000,5,0,0.0,0.9266,0.91892
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.01,30,0.2,0.01,4000,5,0,0.0,0.9266,0.91934
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.03,30,0.0,0.01,2000,5,0,0.0,0.9266,0.91388
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.03,30,0.0,0.01,4000,5,0,0.0,0.9266,0.9193000000000001
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.03,30,0.2,0.01,2000,5,0,0.0,0.9266,0.9212
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.03,30,0.2,0.01,4000,5,0,0.0,0.9266,0.9077999999999999
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.05,30,0.0,0.01,2000,5,0,0.0,0.9266,0.9202199999999999
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.05,30,0.0,0.01,4000,5,0,0.0,0.9266,0.9058799999999998
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.05,30,0.2,0.01,2000,5,0,0.0,0.9266,0.92118
model_mnist_lr0.0075,fc,1,7,20,0.1,30,0.05,30,0.2,0.01,4000,5,0,0.0,0.9266,0.9134599999999999
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.01,60,0.0,0.01,2000,5,0,0.0,0.9266,0.9239599999999999
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.01,60,0.0,0.01,4000,5,0,0.0,0.9266,0.91966
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.01,60,0.2,0.01,2000,5,0,0.0,0.9266,0.91654
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.01,60,0.2,0.01,4000,5,0,0.0,0.9266,0.92272
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.03,60,0.0,0.01,2000,5,0,0.0,0.9266,0.9201400000000002
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.03,60,0.0,0.01,4000,5,0,0.0,0.9266,0.9216799999999999
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.03,60,0.2,0.01,2000,5,0,0.0,0.9266,0.9158999999999999
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.03,60,0.2,0.01,4000,5,0,0.0,0.9266,0.9185399999999999
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.05,60,0.0,0.01,2000,5,0,0.0,0.9266,0.91956
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.05,60,0.0,0.01,4000,5,0,0.0,0.9266,0.9103
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.05,60,0.2,0.01,2000,5,0,0.0,0.9266,0.9195
model_mnist_lr0.0075,fc,1,7,20,0.1,60,0.05,60,0.2,0.01,4000,5,0,0.0,0.9266,0.9129799999999999
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.01,30,0.0,0.01,2000,5,0,0.0,0.9266,0.92034
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.01,30,0.0,0.01,4000,5,0,0.0,0.9266,0.92272
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.01,30,0.2,0.01,2000,5,0,0.0,0.9266,0.9216599999999999
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.01,30,0.2,0.01,4000,5,0,0.0,0.9266,0.9179999999999999
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.03,30,0.0,0.01,2000,5,0,0.0,0.9266,0.91762
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.03,30,0.0,0.01,4000,5,0,0.0,0.9266,0.9214600000000001
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.03,30,0.2,0.01,2000,5,0,0.0,0.9266,0.91774
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.03,30,0.2,0.01,4000,5,0,0.0,0.9266,0.9168800000000001
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.05,30,0.0,0.01,2000,5,0,0.0,0.9266,0.9178200000000001
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.05,30,0.0,0.01,4000,5,0,0.0,0.9266,0.9190399999999999
model_mnist_lr0.0075,fc,4,9,20,0.1,30,0.05,30,0.2,0.01,2000,5,0,0.0,0.9266,0.9174599999999999
